City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sao Filipe,CV,75.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
5,Kapaa,US,75.18,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Balabac,PH,82.42,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
10,Padang,ID,77.85,overcast clouds,-0.9492,100.3543,Mercure Padang
15,Wanning,CN,80.4,overcast clouds,18.8003,110.3967,Paradise Hotel
19,Butaritari,KI,79.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
22,Mildmay,CA,75.56,broken clouds,44.0501,-81.1164,Mildmay's Most Wanted
25,Puerto Ayacucho,VE,79.77,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
26,Sadao,TH,80.42,overcast clouds,6.6388,100.4234,Banana Resort Sadao
27,Atuona,PF,77.04,few clouds,-9.8,-139.0333,Villa Enata
30,Makakilo City,US,75.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
35,Arraial Do Cabo,BR,76.96,few clouds,-22.9661,-42.0278,Pousada Porto Praia
38,Kavieng,PG,81.27,moderate rain,-2.5744,150.7967,Nusa Island Retreat
45,Bar-Le-Duc,FR,83.21,clear sky,48.75,5.1667,ibis budget Bar-le-Duc
49,Hamilton,US,85.24,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
55,Morondava,MG,75.45,clear sky,-20.2833,44.2833,La Case Bambou
56,Tutoia,BR,86.59,few clouds,-2.7619,-42.2744,Pousada Guará's
57,Saint Anthony,US,79.84,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
60,Cockburn Town,TC,82.54,clear sky,21.4612,-71.1419,Osprey Beach Hotel
64,Victoria,HK,88.18,clear sky,22.2855,114.1577,Mini Central
66,Nikolskoye,RU,82.87,clear sky,59.7035,30.7861,Tourist House - Sablino
67,Teshie,GH,81.16,few clouds,5.5836,-0.1072,Best Western Plus Accra Beach Hotel
68,Lazaro Cardenas,MX,84.78,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
70,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
73,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
74,Myitkyina,MM,77.63,light rain,25.3833,97.4,Shwe Phyu Hotel
75,Visby,SE,89.82,clear sky,57.6409,18.296,Best Western Solhem Hotel Visby
77,Forrest City,US,87.13,clear sky,35.0081,-90.7898,Hampton Inn Forrest City
80,Ribeira Grande,PT,75.6,few clouds,38.5167,-28.7,Quinta da Meia Eira
83,Quelimane,MZ,75.15,few clouds,-17.8786,36.8883,Hotel Flamingo
92,Jamestown,US,79.02,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
96,Vila,PT,85.69,clear sky,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
98,Perrysburg,US,82.98,clear sky,41.557,-83.6272,Courtyard by Marriott Toledo Rossford/Perrysburg
101,Mikuni,JP,75.11,overcast clouds,36.2171,136.1519,Seifuso
105,Burla,IN,80.83,overcast clouds,21.5,83.8667,Mona achariya
109,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
110,Salalah,OM,77.09,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
122,Wenling,CN,80.85,broken clouds,28.3669,121.36,Hanting Express Wenling Wanchang North Road
126,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
128,Jackson,US,75.04,clear sky,42.4165,-122.8345,Agate Village Apartments
132,Hithadhoo,MV,81.82,overcast clouds,-0.6,73.0833,Scoop Guest House
135,Bria,CF,79.02,light rain,6.5423,21.9863,WFP Guesthouse
137,Turbat,PK,86.81,overcast clouds,26.0023,63.044,Mubashar Quarters
140,Saint-Francois,FR,83.68,clear sky,46.4154,3.9054,Manoir Du Bonheur
141,Santa Rosa,PH,81.01,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
142,Maun,BW,75.16,clear sky,-19.9833,23.4167,Enviro Villa
152,Auki,SB,77.05,broken clouds,-8.7676,160.7034,Auki Motel
153,Asfi,MA,81.59,clear sky,32.2994,-9.2372,Hôtel Abda
155,Nogales,MX,76.71,clear sky,31.3086,-110.9422,Siesta Motel
158,Vanimo,PG,78.91,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
163,Suluq,LY,86.81,clear sky,31.6682,20.2521,ورشة الحضيري لاكترونات وخدمات النت
164,Katsuura,JP,77.58,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
165,Omboue,GA,77.72,broken clouds,-1.5746,9.2618,Hotel Olako
168,Noumea,NC,75.99,few clouds,-22.2763,166.4572,Hôtel Le Lagon
170,Yola,NG,85.48,light rain,9.2,12.4833,Muna Hotel
174,Kudahuvadhoo,MV,80.38,light rain,2.6708,72.8944,Niyama Private Islands Maldives
175,Mattru,SL,77.34,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
178,Nishihara,JP,83.48,few clouds,26.1842,127.7558,Minshuku Agaihama
180,Todos Santos,MX,78.66,clear sky,23.45,-110.2167,Hotel California Todos Santos
183,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
185,Namatanai,PG,79.14,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
