City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Flinders,AU,-34.5833,150.8552,59.38,71,100,5.99,overcast clouds
1,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,70,73,3.4,broken clouds
2,Yumen,CN,40.2833,97.2,72.36,22,0,10.87,clear sky
3,Bluff,NZ,-46.6,168.3333,41.81,77,100,6.53,overcast clouds
4,Sao Filipe,CV,14.8961,-24.4956,75.72,88,62,7.56,broken clouds
5,Kapaa,US,22.0752,-159.319,75.18,92,100,11.5,light rain
6,Karratha,AU,-20.7377,116.8463,71.83,80,0,7.38,clear sky
7,Ushuaia,AR,-54.8,-68.3,29.86,93,100,19.57,heavy snow
8,Port Alfred,ZA,-33.5906,26.891,60.19,77,0,1.01,clear sky
9,Balabac,PH,7.9868,117.0645,82.42,78,100,3.42,overcast clouds
10,Padang,ID,-0.9492,100.3543,77.85,89,100,3.09,overcast clouds
11,Tondano,ID,1.3038,124.9112,68.09,95,54,2.28,broken clouds
12,Kununurra,AU,-15.7667,128.7333,58.98,72,8,0.0,clear sky
13,Husavik,IS,66.0449,-17.3389,51.73,76,61,8.01,broken clouds
14,Tuma,RU,55.148,40.5537,59.05,94,100,9.73,light rain
15,Wanning,CN,18.8003,110.3967,80.4,87,90,6.71,overcast clouds
16,Cidreira,BR,-30.1811,-50.2056,70.11,74,100,4.83,overcast clouds
17,Fortuna,US,40.5982,-124.1573,55.98,91,86,5.01,overcast clouds
18,Upernavik,GL,72.7868,-56.1549,45.99,86,100,8.1,light rain
19,Butaritari,KI,3.0707,172.7902,79.79,77,98,5.01,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,41.49,94,100,2.06,overcast clouds
21,Cape Town,ZA,-33.9258,18.4232,61.27,72,0,9.22,clear sky
22,Mildmay,CA,44.0501,-81.1164,75.56,79,67,4.0,broken clouds
23,Albany,US,42.6001,-73.9662,88.21,64,5,1.01,clear sky
24,Rikitea,PF,-23.1203,-134.9692,74.17,73,4,9.93,light rain
25,Puerto Ayacucho,VE,5.6639,-67.6236,79.77,81,88,2.15,overcast clouds
26,Sadao,TH,6.6388,100.4234,80.42,94,100,1.61,overcast clouds
27,Atuona,PF,-9.8,-139.0333,77.04,75,12,15.19,few clouds
28,Dikson,RU,73.5069,80.5464,42.91,87,100,26.46,light rain
29,Lagos,NG,6.5833,3.75,81.27,67,96,8.39,overcast clouds
30,Makakilo City,US,21.3469,-158.0858,75.0,78,0,12.66,clear sky
31,Khatanga,RU,71.9667,102.5,53.76,65,100,6.58,overcast clouds
32,Kodiak,US,57.79,-152.4072,51.31,87,100,0.0,light rain
33,Hilo,US,19.7297,-155.09,73.27,99,58,1.99,very heavy rain
34,Busselton,AU,-33.65,115.3333,56.79,76,85,11.12,overcast clouds
35,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,65,20,10.36,few clouds
